image,individual_id,viewpoint,species,klass,fold,klass_label,species_label,viewpoint_label
07719755031eea.jpg,d8903b976ed0,starboard,common_dolphin,dolphin,0,0,5,0.0
a1592a0ec76619.jpg,37c7aba965a5,starboard,minke_whale,whale,0,1,16,0.0
86f7a718ca4dfe.jpg,369996fd2563,starboard,beluga_whale,whale,2,1,0,0.0
15d508e0bd0d0e.jpg,75618761a94a,starboard,bottlenose_dolphin,dolphin,4,0,2,0.0
4cd17ed5c3d30a.jpg,ddb7eba29775,port,blue_whale,whale,3,1,1,1.0
8d50c9c0fe6d51.jpg,51081e431bca,port,beluga_whale,whale,3,1,0,1.0
9cc2606155b481.jpg,403dfea4e4bb,port,beluga_whale,whale,1,1,0,1.0
616c292975c388.jpg,a6e325d8e924,port,bottlenose_dolphin,dolphin,2,0,2,1.0
e2d3eb12f2050a.jpg,1816cc1ae38b,starboard,killer_whale,whale,4,1,13,0.0
459d04b66b58ad.jpg,a5a6a901d984,starboard,melon_headed_whale,whale,1,1,15,0.0
faf30e3529db1f.jpg,3eb71c9e49f2,port,spotted_dolphin,dolphin,2,0,24,1.0
8f8fcea83f91bc.jpg,fc0ca50f30ba,starboard,dusky_dolphin,dolphin,0,0,7,0.0
619554309ddafc.jpg,4134fe49e6ca,port,beluga_whale,whale,2,1,0,1.0
cc43fc0a3ca80a.jpg,3ee0c96472b9,starboard,false_killer_whale,whale,4,1,8,0.0
e3431661b74bbf.jpg,99591df6b695,unclear,beluga_whale,whale,3,1,0,2.0
4f52409034e5b9.jpg,1f131241029a,port,bottlenose_dolphin,dolphin,3,0,2,1.0
e9a1dbf582be50.jpg,6f85069cdd91,starboard,false_killer_whale,whale,3,1,8,0.0
47ea8e69fe9436.jpg,80c87d7f1e23,starboard,fin_whale,whale,1,1,9,0.0
9da49f7bbf90b9.jpg,4d4635537ed2,port,bottlenose_dolphin,dolphin,3,0,2,1.0
0faab764010d5c.jpg,3c41148ede78,port,melon_headed_whale,whale,0,1,15,1.0
d68d98e5bb45ef.jpg,9b0c37a6b725,port,blue_whale,whale,2,1,1,1.0
6d5dc4767bf0ec.jpg,beec21ea832a,port,spinner_dolphin,dolphin,0,0,23,1.0
3d82d08377b376.jpg,90cfd1801b72,port,bottlenose_dolphin,dolphin,4,0,2,1.0
7fd46dd8c7dad4.jpg,e33a507393ca,port,false_killer_whale,whale,4,1,8,1.0
371efc6415bc04.jpg,cfec788b372c,starboard,beluga_whale,whale,4,1,0,0.0
7663e1a434c601.jpg,938b7e931166,starboard,humpback_whale,whale,2,1,12,0.0
3ce4abb55a1b07.jpg,2912ae988cb8,starboard,bottlenose_dolphin,dolphin,3,0,2,0.0
cfc5efb3d55f0c.jpg,e4b5200c26b9,starboard,melon_headed_whale,whale,3,1,15,0.0
1fdcd55aebe336.jpg,6ab38af9a8ae,port,blue_whale,whale,3,1,1,1.0
061cdbb06eaf3e.jpg,d0d7356c9b06,starboard,cuviers_beaked_whale,whale,0,1,6,0.0
c6a185b88341d7.jpg,37c7aba965a5,starboard,minke_whale,whale,1,1,16,0.0
3167934710269e.jpg,fcc7ade0c50a,port,false_killer_whale,whale,0,1,8,1.0
01b61298b216d2.jpg,88eef643fae0,port,melon_headed_whale,whale,2,1,15,1.0
692c228e4f709a.jpg,599bf01ce321,port,bottlenose_dolphin,dolphin,1,0,2,1.0
42c68019ec6a7a.jpg,91ed5caeb0d3,port,humpback_whale,whale,3,1,12,1.0
54816773ecdd8b.jpg,be330f0c495c,starboard,bottlenose_dolphin,dolphin,4,0,2,0.0
86beb597c24302.jpg,03880e5855cc,starboard,fin_whale,whale,1,1,9,0.0
72c2c781a56abd.jpg,202b8449ebcb,port,pantropic_spotted_dolphin,dolphin,3,0,17,1.0
7bdeecbcebbea9.jpg,fb1306484633,port,blue_whale,whale,3,1,1,1.0
1d3c47a649ca14.jpg,52a2c490b25a,unclear,fin_whale,whale,0,1,9,2.0
f8c483f7ac894a.jpg,087bf37745ac,port,southern_right_whale,whale,2,1,22,1.0
42e351bf854e40.jpg,5091b6e0c12c,port,blue_whale,whale,0,1,1,1.0
25d82247920d24.jpg,b065cb4b96c0,port,southern_right_whale,whale,0,1,22,1.0
78ec52c9d15db9.jpg,e9525f5abf43,port,fin_whale,whale,3,1,9,1.0
109dd85b256049.jpg,603d2f75f0c7,port,blue_whale,whale,4,1,1,1.0
032ba126b3ab1b.jpg,37c7aba965a5,port,minke_whale,whale,1,1,16,1.0
47578d7d329f83.jpg,8e5253662392,port,humpback_whale,whale,2,1,12,1.0
3ad5f7a5df5a19.jpg,0ef96132c2d2,starboard,bottlenose_dolphin,dolphin,1,0,2,0.0
83be1ef6f83b06.jpg,be2aa86d0e5b,port,false_killer_whale,whale,2,1,8,1.0
b728300d5d83e2.jpg,469dcda341c4,port,humpback_whale,whale,3,1,12,1.0
e3549a460b4530.jpg,61f9e4cd30eb,starboard,common_dolphin,dolphin,0,0,5,0.0
70ca2c28bb7ef3.jpg,934bee771cfc,starboard,humpback_whale,whale,3,1,12,0.0
2ae1eabc913525.jpg,4b8534134eb8,port,bottlenose_dolphin,dolphin,1,0,2,1.0
f693baceeaa68a.jpg,51081e431bca,unclear,beluga_whale,whale,2,1,0,2.0
7ef80b41e2b2d9.jpg,e61cc94ed40f,unclear,gray_whale,whale,0,1,11,2.0
8f7397498ef503.jpg,aabe9e7ff657,starboard,bottlenose_dolphin,dolphin,0,0,2,0.0
cddc219c740bd3.jpg,6a3af6e0c55c,starboard,humpback_whale,whale,1,1,12,0.0
07202107f222e6.jpg,d02e92f288fb,port,long_finned_pilot_whale,whale,1,1,14,1.0
70e6db698b40f5.jpg,ef0ddd083fbe,starboard,killer_whale,whale,1,1,13,0.0
e83ad8dc38f1fc.jpg,6a3af6e0c55c,port,humpback_whale,whale,4,1,12,1.0
4015d749c93863.jpg,f0efb5bcc5d3,port,killer_whale,whale,3,1,13,1.0
bddf67d7cdeba5.jpg,6bf9810d3632,starboard,bottlenose_dolphin,dolphin,2,0,2,0.0
7f8f5d330d88f0.jpg,129a9e2703f0,starboard,dusky_dolphin,dolphin,0,0,7,0.0
7e2484d2d3cb44.jpg,3a055fad1478,starboard,beluga_whale,whale,3,1,0,0.0
5b2190b239ebc0.jpg,c9017239cfdb,starboard,spinner_dolphin,dolphin,2,0,23,0.0
82a2a0d4aef0cf.jpg,e839ee7d8cf0,starboard,humpback_whale,whale,2,1,12,0.0
ff6b2784d1916f.jpg,f97e5fbbb443,starboard,humpback_whale,whale,4,1,12,0.0
f2339d5ad6ac00.jpg,37a6656fbd4b,starboard,blue_whale,whale,2,1,1,0.0
75aa5b8f1ded79.jpg,0bd55d11ced7,port,melon_headed_whale,whale,3,1,15,1.0
a754fd306b5ee4.jpg,469dcda341c4,starboard,humpback_whale,whale,0,1,12,0.0
eff0172199785d.jpg,22c1eb2c8af4,starboard,false_killer_whale,whale,2,1,8,0.0
3e1260a8aca543.jpg,e3539a77a6b2,port,false_killer_whale,whale,0,1,8,1.0
b22e5c7de71014.jpg,e4d28db990c8,port,southern_right_whale,whale,3,1,22,1.0
cd48ef14753d47.jpg,a4f8818bff0a,starboard,short_finned_pilot_whale,whale,3,1,21,0.0
041a15b3f2abfd.jpg,b267030bf51d,port,killer_whale,whale,4,1,13,1.0
464eff4564e1c1.jpg,8330f577b837,starboard,spinner_dolphin,dolphin,4,0,23,0.0
3e4985a76ee2ed.jpg,156e6ee54777,port,beluga_whale,whale,2,1,0,1.0
23043820045bb8.jpg,345218493744,port,false_killer_whale,whale,3,1,8,1.0
464edb76247cc6.jpg,8adefb8455b6,port,spinner_dolphin,dolphin,0,0,23,1.0
6c40692f9a6886.jpg,0616562235a9,starboard,bottlenose_dolphin,dolphin,2,0,2,0.0
d963fefc0f3d90.jpg,0914186a4079,starboard,humpback_whale,whale,3,1,12,0.0
0ec9f8c560a30e.jpg,a6e325d8e924,port,bottlenose_dolphin,dolphin,4,0,2,1.0
be435df078ab88.jpg,9a97153ecedf,port,spinner_dolphin,dolphin,2,0,23,1.0
15c51fcf055d92.jpg,fa3cc5d48350,starboard,spinner_dolphin,dolphin,2,0,23,0.0
8ffa63d9d6e49e.jpg,c63515849e78,starboard,blue_whale,whale,4,1,1,0.0
9449aaa7bf7449.jpg,f7bb4f9a9d1a,port,false_killer_whale,whale,1,1,8,1.0
7e7fe093ee5c7a.jpg,79ea7aee3892,port,melon_headed_whale,whale,1,1,15,1.0
ac88237c4931a1.jpg,48936da899c3,starboard,bottlenose_dolphin,dolphin,3,0,2,0.0
13d36ae59c1c1e.jpg,dad9b2cc8452,starboard,humpback_whale,whale,3,1,12,0.0
8d7fc36ed9ebf2.jpg,5ded0fc48bb4,port,melon_headed_whale,whale,4,1,15,1.0
5f7d12ef64a7e8.jpg,c2b64ccd2f88,starboard,killer_whale,whale,1,1,13,0.0
5fca1dd157102f.jpg,479e22d81788,port,dusky_dolphin,dolphin,2,0,7,1.0
4bec5900e2495b.jpg,f263fb6c725a,port,humpback_whale,whale,1,1,12,1.0
1e5bb260ba28a1.jpg,aeb172389b5e,starboard,humpback_whale,whale,4,1,12,0.0
3a451310950bd4.jpg,886086dd8462,starboard,bottlenose_dolphin,dolphin,4,0,2,0.0
cea7adf3d59a31.jpg,cafd17420e8d,starboard,short_finned_pilot_whale,whale,4,1,21,0.0
49a684b4a447ba.jpg,180c0ab04dcd,starboard,fin_whale,whale,4,1,9,0.0
abe2e00a4570f7.jpg,96ee9d3eeee2,starboard,short_finned_pilot_whale,whale,1,1,21,0.0
8994cb55b08936.jpg,84a261c0e5cf,unclear,beluga_whale,whale,1,1,0,2.0
ce48b08e819056.jpg,ba29c3013d6e,starboard,blue_whale,whale,2,1,1,0.0
89bdf8dae94a09.jpg,6189bd7d5c9d,unclear,beluga_whale,whale,4,1,0,2.0
48606a208fe970.jpg,7770c85b0e5e,port,bottlenose_dolphin,dolphin,1,0,2,1.0
9fc350d7978565.jpg,310f490f263b,port,dusky_dolphin,dolphin,3,0,7,1.0
f189141bb948ea.jpg,fdb44a6f0917,unclear,gray_whale,whale,4,1,11,2.0
8deeef621840c4.jpg,8b2afa1e2e93,unclear,gray_whale,whale,1,1,11,2.0
00021adfb725ed.jpg,cadddb1636b9,port,melon_headed_whale,whale,0,1,15,1.0
c85297bd2c8ec0.jpg,83cd3a0248c3,port,short_finned_pilot_whale,whale,0,1,21,1.0
5978c5cfb3f8cf.jpg,6a3af6e0c55c,port,humpback_whale,whale,2,1,12,1.0
ad549a3c1c11de.jpg,61d96249f4b7,port,killer_whale,whale,2,1,13,1.0
7ebb31f98eecb3.jpg,363bb3048de9,port,beluga_whale,whale,2,1,0,1.0
7f7e1ed4af0a90.jpg,880db02833cf,starboard,killer_whale,whale,4,1,13,0.0
f1886d0b0bd0cd.jpg,281504409737,starboard,bottlenose_dolphin,dolphin,3,0,2,0.0
a7a2cbf0b670e3.jpg,4d18b20adff3,port,minke_whale,whale,4,1,16,1.0
1bfb0fa6356e2e.jpg,18efa8d0b472,starboard,humpback_whale,whale,0,1,12,0.0
ba7e64e3b8d6ed.jpg,ce6e37904aa4,port,minke_whale,whale,4,1,16,1.0
6819c4c1d16d34.jpg,8bb8b7b094da,port,spinner_dolphin,dolphin,2,0,23,1.0
bbecf11abfe4f5.jpg,c431869ec48d,starboard,blue_whale,whale,1,1,1,0.0
febb14e96e9b89.jpg,027ac44f5b33,starboard,humpback_whale,whale,4,1,12,0.0
adb9ee6f905837.jpg,70cd1a7d97a7,port,bottlenose_dolphin,dolphin,4,0,2,1.0
1f31d0f52a61b7.jpg,7f22efb29927,unclear,beluga_whale,whale,4,1,0,2.0
9230595279c46b.jpg,99591df6b695,unclear,beluga_whale,whale,0,1,0,2.0
c9ba7172cae0a0.jpg,c2705f9e75c8,starboard,bottlenose_dolphin,dolphin,1,0,2,0.0
efee17756d8b39.jpg,3d942ef38c97,starboard,blue_whale,whale,1,1,1,0.0
8cb14fda1a1d19.jpg,07a477b6a091,port,false_killer_whale,whale,2,1,8,1.0
be7bae12d60636.jpg,6f632b846891,starboard,gray_whale,whale,3,1,11,0.0
f3b8e3e5ca199e.jpg,6398f8680938,port,bottlenose_dolphin,dolphin,0,0,2,1.0
eda80e4a614023.jpg,d5b28257276e,starboard,humpback_whale,whale,1,1,12,0.0
dc70761e08f82e.jpg,5edbbb10acf3,starboard,humpback_whale,whale,0,1,12,0.0
fe0ebcaab50910.jpg,affc66d9a9d8,port,blue_whale,whale,2,1,1,1.0
a823c81da64d70.jpg,bb7eff4a7dcb,starboard,humpback_whale,whale,2,1,12,0.0
5121fd65ac0bb2.jpg,aaaa25ab7866,starboard,melon_headed_whale,whale,2,1,15,0.0
acdfc27c2c0f3b.jpg,9c8f2695577c,starboard,killer_whale,whale,1,1,13,0.0
b40f249b38aef3.jpg,1f369fbc1064,port,melon_headed_whale,whale,4,1,15,1.0
d6f42101f82e68.jpg,a7c519cc09ca,unclear,beluga_whale,whale,0,1,0,2.0
2ef8fe7bbe3c8b.jpg,4c81254ce389,port,humpback_whale,whale,3,1,12,1.0
df0d74ed13f3f3.jpg,d1ba1b0484f8,port,blue_whale,whale,2,1,1,1.0
9689fe21e0866e.jpg,d3cedf439859,starboard,beluga_whale,whale,1,1,0,0.0
b9abd0646c3f0c.jpg,ffd38c0d37ad,starboard,false_killer_whale,whale,3,1,8,0.0
f269a3d9beb3d3.jpg,80d282ac5d45,starboard,gray_whale,whale,3,1,11,0.0
94f7ded162b20f.jpg,fa7cd80276aa,starboard,humpback_whale,whale,4,1,12,0.0
0cdfecdeb670c3.jpg,2fdb3a09dc9c,starboard,false_killer_whale,whale,3,1,8,0.0
ce3392f78b487a.jpg,ec02916e94e4,port,false_killer_whale,whale,4,1,8,1.0
55bcce607b6602.jpg,06ef73efe924,unclear,beluga_whale,whale,4,1,0,2.0
39434a148222b2.jpg,8b712d2a5313,starboard,bottlenose_dolphin,dolphin,3,0,2,0.0
3fd05f6b38225e.jpg,e85c3cb75c08,port,false_killer_whale,whale,3,1,8,1.0
ea1573308ecdea.jpg,1191a41ee0f4,port,bottlenose_dolphin,dolphin,3,0,2,1.0
9a8ea9c2571f1a.jpg,f3bd4d556c46,starboard,dusky_dolphin,dolphin,2,0,7,0.0
f9c83d9b69ce24.jpg,c02b389616b5,unclear,gray_whale,whale,3,1,11,2.0
54e4b695176e09.jpg,d473a6bd745f,port,spinner_dolphin,dolphin,1,0,23,1.0
7404592670ffe4.jpg,2de01ce05146,port,spotted_dolphin,dolphin,4,0,24,1.0
cd4c5caf6c53e8.jpg,ac726b5b4f10,port,bottlenose_dolphin,dolphin,3,0,2,1.0
506ec9974fa3e4.jpg,cdb8bfbffa17,port,blue_whale,whale,4,1,1,1.0
febb16baef16a7.jpg,9c195d0977d6,port,blue_whale,whale,0,1,1,1.0
e52c00c545568e.jpg,89d3367332c5,port,beluga_whale,whale,0,1,0,1.0
8a8f5dc77f1d9a.jpg,a052cbd8050c,port,bottlenose_dolphin,dolphin,2,0,2,1.0
f87453d8ae5cdd.jpg,dfdc0a3e1b69,port,bottlenose_dolphin,dolphin,3,0,2,1.0
